                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.396,                 8.6859,                 2.8301,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0811,                 0.0021,                 0.0021
                      2,                  2.505,                 3.7303,                 3.1072,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.060874,              0.0038743,              0.0038743
                      3,                 2.4962,                 2.4696,                 3.0588,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040213,               0.005213,               0.005213
                      4,                 2.3968,                 2.4604,                 3.0325,                  3e-05,                   0.01,                  2e-05,                      0,                 3.8727,                    inf,                 192.88,               0.019116,              0.0061161,              0.0061161
                      5,                 2.3967,                  2.372,                 2.9945,                0.00043,                   0.23,                0.00038,                0.00013,                 3.8634,                    inf,                 46.817,                0.00604,                0.00604,                0.00604
                      6,                 2.3962,                 2.2263,                 2.9922,                0.00163,                   0.45,                 0.0013,                0.00051,                 2.5379,                    inf,                 5.3804,                0.00505,                0.00505,                0.00505
                      7,                 2.4007,                  2.164,                 2.9729,                0.61111,                   0.06,                0.03244,                0.00758,                 3.9506,                 43.417,                 6.7602,                0.00406,                0.00406,                0.00406
                      8,                 2.2954,                 2.1766,                 2.9337,                0.58969,                   0.39,                0.18597,                0.06254,                 2.3017,                 15.904,                 3.6717,                0.00307,                0.00307,                0.00307
                      9,                  2.278,                 2.0763,                 2.9272,                0.67186,                   0.26,                0.25525,                 0.0682,                 2.4543,                  2.468,                 3.2975,                0.00208,                0.00208,                0.00208
                     10,                 2.2757,                 2.0247,                 2.9175,                0.71236,                   0.35,                0.33418,                0.09639,                 2.2381,                 2.1853,                 3.0755,                0.00109,                0.00109,                0.00109
